#,ELO,Player,Clan,Streak,Percent,Games,Last game
235,"1,701",Papa_Al,ᵡXᵈᵐ,"'-1",49.45%,"3,984",5/5/2026
236,"1,700",miguemate,GGplz,1,59.42%,207,5/9/2026
237,"1,699","noob,,boom,,,gg,,,noob,,ff,,gg",enjoy,4,50.82%,"4,839",5/6/2026
238,"1,699",Uddevalla,"'-",4,53.44%,421,5/10/2026
239,"1,699",Dante,"'-","'-4",54.19%,681,5/2/2026
240,"1,699",Sp(L)iff,"'-",2,63.48%,115,4/27/2026
241,"1,698",Mitl0t,RVOLT,"'-1",52.48%,"1,048",5/8/2026
242,"1,695",Violet,"'-",1,50.24%,"4,839",5/10/2026
243,"1,694",我叫溥仪,小星星,1,67.82%,87,5/2/2026
244,"1,694",Markus,BRAKK,"'-1",51.60%,"1,405",5/10/2026
245,"1,692",ntp9750330,"'-",1,50.28%,"2,293",5/10/2026
246,"1,691",xaaxaxaxaxaxax xaxaxaxaxaxaxax,"'-","'-2",59.78%,179,5/1/2026
247,"1,691",Roche426,"'-","'-2",57.14%,182,5/10/2026
248,"1,688",Hazza's stepsister is hot,BAJA,"'-5",51.69%,"1,894",5/8/2026
249,"1,688",why or why not,"'-",4,54.73%,338,5/7/2026
250,"1,688",piki enjoyer,PIRO,3,76.00%,50,5/6/2026
251,"1,688",<color=1/0/1>Port Mafia,AOTDE,"'-2",51.01%,"1,535",5/2/2026
252,"1,686",oudin resonator,"'-",1,50.85%,"5,420",5/7/2026
253,"1,682",IrisGenista,"'-",1,55.19%,511,5/10/2026
254,"1,681",Monkey D Luffy,"'-","'-1",51.50%,"10,006",5/10/2026
255,"1,679",strim_enjoyer,"'-",2,51.54%,"1,168",5/9/2026
256,"1,677",Hemadisen,"'-",1,50.54%,"1,399",5/4/2026
257,"1,676",KCOG,あうせれす,6,52.80%,947,4/25/2026
258,"1,676",SlimShady,"'-",12,51.62%,955,4/14/2026
259,"1,674",twitch:girardiplayer95,"'-",1,53.07%,228,4/19/2026
260,"1,673",BSL | Dragonstar,"'-","'-1",55.59%,295,5/8/2026
261,"1,673",engerek4141,"'-",5,51.82%,"1,206",5/8/2026
262,"1,672",るー,"'-",7,55.12%,381,4/27/2026
263,"1,671",Victor,"'-","'-5",52.13%,800,4/30/2026
264,"1,671",Alexdomain,GGGGG,1,50.68%,"1,174",4/28/2026
265,"1,670",Lord Proper,NGDZ,1,51.45%,931,5/6/2026
266,"1,670",溥仪,小星星,2,59.64%,166,4/13/2026
267,"1,667",Joseph,"'-",1,53.19%,"1,192",5/8/2026
268,"1,666",ZerunBot,"'-",1,51.41%,"1,778",5/8/2026
269,"1,665",Dandy,"'-","'-1",79.55%,44,5/10/2026
270,"1,665",星空葡萄大杯加椰果冰沙七分糖,"'-",2,54.57%,339,5/6/2026
271,"1,665",Lucas_Aurelius,Noobs,3,50.80%,"2,681",5/1/2026
272,"1,663",Ryan Knallen,PLOP,1,53.56%,379,5/10/2026
273,"1,662",THOR,TPG,2,50.23%,"2,369",5/8/2026
274,"1,662",Singapura_Routeline,"'-","'-2",50.91%,"5,952",4/30/2026
275,"1,662",【PZV】AFK is dog,"'-",4,50.16%,"4,031",4/30/2026
276,"1,660",mwoji,"'-",1,49.74%,"2,688",5/9/2026
277,"1,659",Calimera,"'-",3,51.93%,"1,165",5/10/2026
278,"1,659",TakeawayBongo28,Tur4n,"'-3",53.16%,664,4/24/2026
279,"1,658",the point however isto change it,"'-",3,55.45%,220,5/4/2026
280,"1,658",Ezzat,"'-","'-1",49.96%,"16,382",5/10/2026
281,"1,658",SinN,RVOLT,2,52.97%,"1,246",5/7/2026
282,"1,658",Youssef,3HUSS,3,50.61%,"5,428",5/7/2026
283,"1,657",CEOofAOE3,AoWr,1,51.10%,"1,589",5/8/2026
284,"1,656",Kaunos,MME69,2,51.12%,"2,938",5/10/2026
285,"1,655",owl,AOTDE,3,54.08%,527,5/9/2026
286,"1,654",mertcans315,Tur4n,"'-1",54.17%,408,4/13/2026
287,"1,653",[世界第一可爱]香风智乃的咖啡魔法大作战,"'-",3,72.50%,40,4/17/2026
288,"1,653",Soycamalardo,"'-","'-1",59.13%,115,4/29/2026
289,"1,653",goodke,AoWr,"'-1",62.36%,178,5/9/2026
290,"1,653",84629230673,"'-",1,52.29%,"1,505",4/22/2026
291,"1,652",Nyx Venatrix,ANGRA,"'-2",51.91%,"1,362",5/1/2026
292,"1,651",Japan lamer,"'-",1,55.06%,267,4/25/2026
293,"1,650",Samuka,WBUL,4,64.52%,93,4/24/2026
294,"1,649",失散多年的叉烧爸爸,"'-",3,52.03%,"1,084",5/6/2026
295,"1,649",sheckler,"'-","'-1",51.25%,"4,394",4/26/2026
296,"1,648",Peynir23,"'-","'-1",53.04%,411,5/7/2026
297,"1,648",merowing,BRAKK,3,51.07%,"1,958",4/28/2026
298,"1,647","Mirkov, el empalador",GRAL,1,50.71%,"1,053",5/9/2026
299,"1,646",po08mp82,"'-","'-3",64.29%,112,4/28/2026
300,"1,646",uk,"'-",2,52.70%,852,5/9/2026
301,"1,645",khanzabb,"'-",2,59.12%,159,4/13/2026
302,"1,644",[SB]6th | Zerk,"'-",2,52.08%,"1,248",4/20/2026
303,"1,643",Madonna,Nebbz,5,86.21%,29,4/30/2026
304,"1,643",Gato do Armazem,3WW,"'-2",50.79%,"2,014",5/9/2026
305,"1,641",El dresseur de pigeon,LBSfr,"'-1",50.85%,"2,230",5/9/2026
306,"1,641",Grey_foxx,"'-","'-2",50.47%,531,5/10/2026
307,"1,640",RedesRojas,KAIZN,1,56.90%,297,4/26/2026
308,"1,638",qewreq,ᵡXᵈᵐ,"'-3",52.54%,"1,203",5/2/2026
309,"1,637",Flaaviin,"'-","'-1",50.74%,"1,626",5/6/2026
310,"1,636",ſjm,"'-",1,50.68%,"3,305",5/9/2026
311,"1,635",Simsimix,"'-","'-5",51.39%,"1,909",4/16/2026
312,"1,635",Nyholm1891,DIF,5,51.04%,"1,199",5/3/2026
313,"1,634",Tinoun,P1DER,1,50.38%,"2,344",5/10/2026
314,"1,634",Xuan Yin Luo,"'-",2,54.57%,383,5/7/2026
