#,ELO,Player,Clan,Streak,Percent,Games,Last game
"3,280",893,Lenardka,KLLS,"'-1",50.30%,167,4/17/2026
"3,281",893,lukedorril1749,NEWEN,"'-2",50.00%,146,5/8/2026
"3,282",893,face_to_the_sun,"'-",1,49.80%,"1,773",5/6/2026
"3,283",893,BetterDays8,"'-",2,47.54%,61,5/7/2026
"3,284",892,gustavostefann,"'-","'-1",48.84%,86,5/6/2026
"3,285",892,IMPALER,IA1,"'-2",47.36%,397,5/2/2026
"3,286",892,Wolf,"'-","'-1",49.40%,83,5/1/2026
"3,287",892,davidnichan,"'-","'-1",50.10%,"3,683",5/7/2026
"3,288",892,Ashigaru,"'-",3,50.06%,"1,724",5/10/2026
"3,289",891,jesper_kramer,"'-","'-1",40.00%,10,4/15/2026
"3,290",891,rippen783,"'-","'-2",45.00%,20,5/10/2026
"3,291",891,Arcamida,"'-","'-1",49.11%,564,5/5/2026
"3,292",891,Poison Eevee,"'-",2,49.22%,319,5/9/2026
"3,293",891,Quadman808,TSREV,2,50.00%,80,4/17/2026
"3,294",891,Grim,TJCJ,3,49.66%,"2,221",4/14/2026
"3,295",891,marcolien99,"'-","'-1",51.52%,66,5/8/2026
"3,296",890,joannesDei,AARRG,"'-1",48.84%,129,4/20/2026
"3,297",890,eladio8696,"'-","'-1",50.13%,772,5/1/2026
"3,298",890,joilo,"'-",2,49.81%,522,5/10/2026
"3,299",890,KPasa,"'-","'-2",48.41%,126,5/4/2026
"3,300",889,صليل الصواريم,LIAC,"'-4",38.10%,21,5/6/2026
"3,301",889,mareczek.ia,"'-",2,50.00%,88,5/10/2026
"3,302",889,DoewNut!,"'-","'-4",42.11%,19,5/8/2026
"3,303",888,numatar,"'-",1,37.50%,16,5/5/2026
"3,304",888,yhiadwere,"'-",4,56.34%,71,5/1/2026
"3,305",888,efebey4955,KURTR,"'-5",38.10%,21,5/9/2026
"3,306",888,Ariel,"'-",5,49.75%,402,5/9/2026
"3,307",888,Cazaputas47,"'-","'-1",48.98%,392,4/14/2026
"3,308",888,rcr833,"'-","'-1",40.00%,20,4/22/2026
"3,309",887,steveb,"'-","'-1",49.84%,"1,852",5/10/2026
"3,310",887,GhenghsTom,"'-","'-3",49.80%,"1,731",5/10/2026
"3,311",887,Inbound Trooper,"'-","'-7",47.83%,46,5/9/2026
"3,312",887,TCA,"'-",2,49.91%,"2,312",5/10/2026
"3,313",887,bethanyarticulate08,"'-",6,50.00%,90,5/10/2026
"3,314",887,Xixomix,"'-","'-3",40.00%,25,5/10/2026
"3,315",887,Holy_Ravioli,"'-","'-1",46.34%,41,4/13/2026
"3,316",887,Anabolicsteroid,"'-","'-1",46.91%,81,5/9/2026
"3,317",887,El Patriarca,"'-","'-2",38.64%,44,4/18/2026
"3,318",887,JeRoS,Labsw,"'-4",44.00%,75,4/16/2026
"3,319",886,tariktiago,"'-","'-2",49.74%,770,4/29/2026
"3,320",886,Taskape,"'-",1,49.20%,250,5/7/2026
"3,321",886,JDW8055,"'-","'-2",38.46%,13,4/18/2026
"3,322",886,Capitan_Salami,"'-",1,52.94%,51,5/7/2026
"3,323",885,Goob,"'-",3,52.46%,61,4/22/2026
"3,324",885,hachiroku119,"'-","'-2",37.50%,16,5/10/2026
"3,325",885,Tommy,"'-",1,50.36%,"1,547",4/24/2026
"3,326",884,hapm97,"'-","'-1",51.26%,119,4/16/2026
"3,327",884,Glimbo,"'-",1,50.80%,563,5/8/2026
"3,328",883,DAVIDRON,LATUN,1,49.72%,529,5/9/2026
"3,329",883,Nolix shadow,"'-","'-1",49.55%,551,5/9/2026
"3,330",883,AdamD029,"'-","'-1",50.00%,628,5/3/2026
"3,331",883,M@hDiuS | Whine Less 2 Win More!,"'-","'-2",50.00%,"1,064",5/10/2026
"3,332",882,CafePinguino,"'-",1,42.86%,21,5/10/2026
"3,333",882,877930123,"'-","'-2",42.11%,19,5/2/2026
"3,334",882,magurass,"'-",1,52.78%,72,4/23/2026
"3,335",882,bikesareansr,"'-",2,48.71%,542,5/10/2026
"3,336",882,El_TUCUMAN,"'-",2,50.14%,"1,480",4/22/2026
"3,337",882,Adidegmez,"'-","'-5",48.61%,72,5/3/2026
"3,338",882,Heller Highwater,"'-","'-2",43.48%,23,4/29/2026
"3,339",881,Reynevan - Right Syndrome,"'-",1,49.42%,344,5/10/2026
"3,340",881,pviggi,hwale,"'-2",47.24%,163,5/5/2026
"3,341",881,marcinos0304,"'-","'-1",45.95%,37,5/10/2026
"3,342",881,RedcoatCOYG,"'-","'-2",49.94%,833,5/10/2026
"3,343",881,Ivar son of Odin,Vⱥlђⱥ,"'-1",47.19%,89,4/30/2026
"3,344",880,diegodejesus9111,"'-","'-1",42.11%,19,4/19/2026
"3,345",880,Yokom21,"'-","'-3",46.15%,91,4/27/2026
"3,346",880,ZYR,"'-",2,49.86%,"1,047",5/10/2026
"3,347",880,BitterLawyer,"'-",1,47.22%,36,5/3/2026
"3,348",880,Dotaplayer669,"'-",1,32.14%,28,4/23/2026
"3,349",879,5R2,"'-",2,48.57%,70,4/23/2026
"3,350",879,深圳剪辑师,"'-","'-1",47.52%,101,4/25/2026
"3,351",879,Zoommer101,"'-","'-2",48.91%,137,5/1/2026
"3,352",878,adnanheroes,"'-",2,44.44%,18,4/30/2026
"3,353",878,Icepeek-,"'-","'-3",50.00%,34,5/9/2026
"3,354",877,max.boussion,"'-","'-1",50.93%,108,5/9/2026
"3,355",877,大椅子,"'-","'-2",47.62%,63,5/4/2026
"3,356",877,hsiehww,"'-",2,49.84%,"3,192",4/24/2026
"3,357",877,Alpha-decay,"'-",1,50.16%,618,5/7/2026
"3,358",876,KoenRanger,RRAOE,"'-1",49.81%,536,5/10/2026
"3,359",876,TwoLostSouls,"'-","'-2",44.12%,34,5/10/2026
"3,360",876,Axel,"'-",1,42.86%,49,4/15/2026
"3,361",876,htmlardner,"'-",2,49.65%,143,5/8/2026
"3,362",876,PowerCard743963,"'-",6,50.00%,172,5/7/2026
"3,363",876,wedyst,MUIST,2,54.11%,146,4/22/2026
"3,364",876,vision.nacional2019,ROME,"'-1",43.75%,32,5/1/2026
"3,365",875,Bob the Tomato,"'-","'-1",41.18%,17,5/5/2026
"3,366",875,J34,"'-",3,49.78%,229,5/1/2026
"3,367",875,ARAYA,"'-",5,48.78%,41,4/30/2026
"3,368",875,Sakho,PdiS,"'-6",33.33%,12,4/26/2026
"3,369",875,凯布罗,"'-",1,47.17%,53,5/4/2026
"3,370",875,macelosnowden,BRASI,"'-1",44.93%,69,5/9/2026
"3,371",875,FBC,"'-",1,49.70%,"7,185",5/10/2026
"3,372",875,zuluaga_j16,"'-",4,42.86%,21,4/20/2026
"3,373",875,Lord,"'-",2,49.05%,369,5/10/2026
"3,374",874,(; ;),"'-",1,49.02%,204,4/16/2026
"3,375",874,SchutzOnFire,"'-","'-1",49.05%,"1,309",4/26/2026
"3,376",874,Kevin,"'-","'-2",44.44%,36,5/4/2026
"3,377",873,RubickGames,LATM,1,48.33%,60,5/8/2026
"3,378",873,76561199185140789,"'-","'-1",44.64%,56,4/13/2026
"3,379",873,Gazza,"'-","'-5",46.15%,117,5/2/2026
"3,380",873,Zephyr,"'-","'-4",33.33%,36,4/18/2026
"3,381",872,ibrahimyavruturk6,kuhak,"'-1",49.26%,136,5/1/2026
"3,382",872,Walter_White,"'-",1,50.11%,"1,842",5/10/2026
"3,383",872,joaooliveiramarcos,R15,2,51.02%,49,5/1/2026
"3,384",872,我就爱打骑兵,"'-","'-2",48.94%,47,5/10/2026
"3,385",872,Andypang,"'-",1,50.26%,768,4/19/2026
"3,386",871,nikfotino,OKG,"'-3",49.18%,"3,034",4/21/2026
"3,387",871,[HIV+] Slim Shady,HBI4,"'-1",36.84%,19,4/28/2026
"3,388",870,luis.servel,"'-",3,42.86%,14,5/4/2026
"3,389",870,王宇轩,"'-",1,44.44%,27,5/9/2026
"3,390",870,JGBlack,"'-","'-2",35.71%,14,5/7/2026
"3,391",870,iN3RT1AL,"'-",1,50.51%,99,5/5/2026
"3,392",870,Destroyer,"'-","'-1",49.08%,163,4/18/2026
"3,393",870,HPsilva21,"'-","'-1",43.75%,16,5/2/2026
"3,394",870,Elmendavianero,ESP,5,50.21%,468,5/10/2026
"3,395",870,ICY SPARK,UKA,"'-2",49.45%,817,5/8/2026
"3,396",870,Kaique,"'-",6,45.45%,44,5/9/2026
"3,397",869,markus.gross1999,"'-","'-3",48.10%,158,4/28/2026
"3,398",869,111,"'-",1,40.00%,10,4/18/2026
"3,399",869,50岁种地大叔,"'-","'-3",49.30%,"1,209",5/10/2026
"3,400",869,2665669416,"'-",1,52.00%,25,4/23/2026
"3,401",869,Monsta,"'-","'-5",49.83%,"2,918",5/10/2026
"3,402",868,Mattgo7,"'-","'-3",33.33%,12,5/1/2026
"3,403",868,Calofix,"'-","'-3",52.50%,40,5/6/2026
"3,404",868,joe,"'-",1,49.35%,845,5/10/2026
"3,405",868,rickrap,"'-","'-1",48.00%,50,5/9/2026
"3,406",867,Gillyinthegrass,"'-",1,50.24%,205,5/4/2026
"3,407",867,hbcburak,galts,"'-5",50.23%,213,5/10/2026
"3,408",867,Piyush,"'-",1,51.72%,29,4/19/2026
"3,409",866,RoB3R7,"'-","'-1",35.71%,14,5/4/2026
"3,410",866,loperro17,PAMAS,"'-4",46.03%,63,5/3/2026
"3,411",865,Senor_Hindenburg,وداع,"'-1",50.00%,560,5/9/2026
"3,412",865,quesadavargasruben79,"'-",1,49.15%,236,5/8/2026
"3,413",865,andresmvv,"'-",3,47.06%,85,5/3/2026
"3,414",865,danielmueller26682,SOlem,"'-1",49.83%,299,5/10/2026
"3,415",865,Guns22,"'-",1,44.44%,18,5/6/2026
"3,416",865,ANiKera,"'-",1,36.36%,11,4/23/2026
"3,417",865,(LCQL)Aladrius,"'-",2,49.31%,290,4/22/2026
"3,418",865,Gentlemeen,"'-",1,48.69%,306,5/8/2026
"3,419",865,Jadeo029,"'-",1,49.65%,431,4/18/2026
"3,420",864,nicolebock,"'-",1,46.84%,158,5/10/2026
"3,421",864,hamilton22,"'-",1,50.25%,"2,565",5/10/2026
"3,422",864,vantom1975,"'-",1,49.87%,"3,042",5/10/2026
"3,423",864,ROBOZÃOO,"'-","'-2",44.44%,18,5/5/2026
"3,424",864,mikidp,"'-",3,48.00%,25,5/9/2026
"3,425",864,小洋仔,"'-",4,49.76%,623,5/6/2026
"3,426",864,jua.arci,4wb,"'-3",46.60%,191,4/22/2026
"3,427",863,LTN_Cassagn,"'-","'-1",50.00%,122,5/6/2026
"3,428",863,Bruce_Wayne,"'-","'-1",40.38%,52,5/8/2026
"3,429",863,BlackList39,ALDAO,"'-1",49.92%,"2,420",5/10/2026
"3,430",863,zurdo666,LCDLS,1,50.62%,81,5/7/2026
"3,431",863,Generalissimo,"'-",2,45.78%,83,5/8/2026
"3,432",863,badbinets,"'-","'-1",43.75%,16,5/4/2026
"3,433",862,Saxton Hale,"'-",1,40.48%,42,4/18/2026
"3,434",862,BVB_Steppe,"'-",1,49.85%,"1,027",5/3/2026
"3,435",862,XcardozoX,"'-",1,51.40%,107,5/10/2026
"3,436",862,yudosan09,"'-","'-1",50.64%,389,4/23/2026
"3,437",862,no_snow,"'-","'-1",50.06%,"2,703",5/7/2026
"3,438",862,akasparky426,"'-",1,39.29%,28,5/5/2026
"3,439",862,HP,"'-",2,45.45%,22,5/7/2026
"3,440",861,LUKE,"'-","'-1",46.79%,904,5/10/2026
"3,441",861,Flower_Plauze,"'-","'-1",50.21%,237,4/25/2026
"3,442",861,Makala78,"'-",2,49.59%,"1,589",5/9/2026
"3,443",861,Briggs,"'-",1,49.60%,"2,006",5/9/2026
"3,444",860,Data2Go,"'-",2,49.33%,"1,415",5/9/2026
"3,445",860,Uwe_Ando,"'-","'-2",30.00%,10,5/8/2026
"3,446",860,enzzzMLS,"'-","'-1",51.45%,173,5/6/2026
"3,447",860,rafik_akram,"'-","'-2",33.33%,12,5/10/2026
"3,448",860,Randy,"'-","'-3",41.38%,29,5/1/2026
"3,449",860,Black Forest Gateau,"'-",1,47.24%,163,4/30/2026
"3,450",860,Viper_413,TJCJ,"'-3",48.78%,41,4/24/2026
"3,451",859,Applejon,"'-","'-6",40.63%,32,5/3/2026
"3,452",859,vicchiass,"'-","'-4",40.00%,15,5/4/2026
"3,453",859,selkdim,"'-","'-1",48.84%,301,4/28/2026
"3,454",859,joshuaholbert,"'-",1,49.55%,672,5/5/2026
"3,455",859,Jones,"'-","'-6",33.33%,15,5/2/2026
"3,456",859,Alvaro,Bea,"'-4",43.24%,37,4/16/2026
"3,457",859,JheziFox,"'-","'-4",42.86%,49,5/10/2026
"3,458",859,Ash//Fox,"'-",1,47.79%,113,4/28/2026
"3,459",858,secmtx,"'-",2,46.15%,117,4/21/2026
"3,460",858,LoginYes1806,"'-","'-2",42.86%,21,4/29/2026
"3,461",857,jeremybgaming510,"'-",1,51.90%,158,5/6/2026
"3,462",857,ewen.hay2004,"'-","'-1",50.00%,100,4/25/2026
"3,463",857,AverageMan,"'-","'-1",50.00%,126,4/17/2026
"3,464",856,nachosanchez88,"'-","'-1",49.54%,761,5/9/2026
"3,465",856,marcelodaurea,"'-",1,50.44%,"1,582",5/4/2026
"3,466",855,TopaciO,Ramd,"'-1",51.26%,476,5/2/2026
"3,467",854,yasar.yaylali,"'-","'-3",49.69%,"1,592",5/10/2026
"3,468",854,ivan056,GAD,"'-1",49.43%,441,4/26/2026
"3,469",853,Saasmann,FR3ND,2,47.17%,53,4/30/2026
"3,470",853,FONSI LONSI,"'-",5,55.36%,56,5/9/2026
"3,471",853,STANDA CZ,"'-",1,49.55%,220,5/10/2026
"3,472",853,赢,"'-",2,59.02%,61,5/7/2026
"3,473",853,Lulu's Companion,"'-",1,46.27%,603,5/9/2026
"3,474",853,RobGre33,TIGGR,"'-3",49.79%,"4,433",5/7/2026
"3,475",853,lordagustine,"'-","'-4",50.00%,250,4/19/2026
"3,476",853,Luck,"'-","'-3",49.04%,312,5/8/2026
"3,477",853,Jedi ⚡︎⚡,"'-",1,44.23%,52,4/20/2026
"3,478",852,Risen88,"'-",2,48.87%,311,4/18/2026
"3,479",852,MNVU bro,"'-","'-2",50.00%,344,5/1/2026
"3,480",852,sidious,"'-",1,49.33%,75,5/2/2026
"3,481",852,BACNH,"'-","'-3",47.67%,86,4/16/2026
"3,482",852,DjAfroThunder,"'-",1,45.68%,81,4/28/2026
"3,483",852,obx88,"'-","'-3",41.18%,17,5/7/2026
"3,484",852,Azaazel,GTURK,"'-2",48.15%,162,4/23/2026
"3,485",852,El Grapadura,MgAo3,"'-2",49.29%,211,5/7/2026
"3,486",852,arandaglove,"'-",1,49.58%,599,4/26/2026
"3,487",851,<color=0.3/0.7/1>Fzr1an,GDB,"'-1",42.86%,42,5/10/2026
"3,488",851,WartyBear97,PYCC,1,42.86%,28,5/4/2026
"3,489",851,BOT Yuri,"'-","'-3",33.33%,24,4/23/2026
"3,490",851,Big-D113,"'-","'-2",48.56%,383,5/5/2026
"3,491",851,Amensag55,"'-","'-5",49.92%,"4,740",4/28/2026
"3,492",851,XantilyPHP,KAING,"'-1",48.65%,74,5/9/2026
"3,493",850,Mr Gaara,CCCP,1,51.47%,68,5/1/2026
"3,494",850,GuiLD,LONWF,1,40.00%,10,5/2/2026
"3,495",850,squack_1978,"'-","'-1",46.43%,28,5/10/2026
"3,496",849,Trevasluz,"'-",3,43.48%,46,5/8/2026
"3,497",849,pierredebacker71,"'-","'-3",50.00%,482,5/8/2026
"3,498",849,icterr,"'-","'-1",30.77%,13,5/4/2026
"3,499",849,Aleks,MxNE,2,50.89%,112,4/12/2026
"3,500",849,Warrior of Barilović,"'-","'-3",48.89%,225,4/29/2026
"3,501",848,死了话还多,"'-","'-1",49.75%,199,5/5/2026
"3,502",848,Bogey1Kenobi,"'-",1,49.89%,940,5/10/2026
"3,503",848,ganchitolube,"'-",2,50.68%,73,5/9/2026
"3,504",848,qamaruddinabro8,"'-",1,49.72%,358,5/4/2026
"3,505",848,Lulu,"'-","'-2",49.59%,617,5/8/2026
"3,506",848,sakarin.tae,"'-","'-2",40.91%,44,4/13/2026
"3,507",848,MOUSTAPHA7604,AMSAR,"'-1",48.84%,43,4/27/2026
"3,508",848,Elvira,"'-","'-1",36.84%,19,4/25/2026
"3,509",848,Uchiha Daniel,SPRQ,1,49.39%,"1,156",5/8/2026
"3,510",847,şovmen,"'-","'-1",47.37%,114,5/10/2026
"3,511",847,Cuy (lider del clan PERUV),PERUV,"'-4",49.80%,253,4/25/2026
"3,512",847,Sami,"'-","'-1",48.05%,154,4/19/2026
"3,513",847,Roger_d_Anjou,"'-","'-5",49.72%,362,5/5/2026
"3,514",847,gabriele1968,"'-",3,49.64%,"3,050",5/10/2026
"3,515",847,RockGuys_,"'-","'-10",49.69%,807,4/18/2026
"3,516",847,Beau Fuddies,"'-",1,49.62%,"1,693",5/10/2026
"3,517",846,jonataspereiracampos,"'-","'-6",35.48%,31,4/27/2026
"3,518",845,mertan.134594,"'-","'-1",48.94%,141,5/10/2026
"3,519",845,miguelcardenasss2000,"'-","'-2",51.61%,93,5/4/2026
"3,520",845,grantskittles,"'-",2,46.95%,213,5/2/2026
"3,521",844,L'Architecte,"'-","'-2",27.27%,11,4/25/2026
"3,522",844,Alejandro,"'-","'-2",36.36%,11,5/3/2026
"3,523",844,hnicholas1993,"'-","'-4",49.51%,927,5/10/2026
"3,524",843,Mr Larry,"'-","'-1",35.71%,14,4/17/2026
"3,525",843,penajrgl,RQM,"'-1",48.28%,87,5/8/2026
"3,526",843,Ehecatl_Canek,"'-",2,49.42%,601,5/10/2026
"3,527",843,Locomotive,"'-",7,49.52%,"8,592",5/10/2026
"3,528",843,shayden.5,976,"'-3",50.00%,238,4/21/2026
"3,529",843,RONIXthesyn,"'-","'-2",29.41%,17,4/16/2026
"3,530",843,weachman,"'-","'-8",49.87%,381,4/14/2026
"3,531",842,darius.j99,"'-","'-3",49.40%,166,4/29/2026
"3,532",841,menonzx,FireG,"'-1",48.15%,27,5/2/2026
"3,533",841,King_Smiley,"'-","'-1",45.16%,31,4/25/2026
"3,534",841,DutchLamer2.0,MHKM,"'-1",33.33%,15,5/3/2026
"3,535",841,esbudegador,"'-",9,49.30%,284,5/9/2026
"3,536",841,opticalillusian,no12,"'-3",33.33%,15,5/9/2026
"3,537",840,maroseano1221,"'-",1,48.44%,64,4/28/2026
"3,538",840,melete_13,"'-",1,49.91%,571,5/10/2026
"3,539",840,zerathebest,ZERA,"'-1",48.48%,165,4/29/2026
"3,540",840,CenkAbiniz,"'-","'-1",49.53%,"1,175",5/10/2026
"3,541",839,5l3yk6,"'-",1,45.83%,48,5/10/2026
"3,542",839,padrosarnau,"'-",2,49.44%,360,5/5/2026
"3,543",839,marxgreiger,"'-","'-1",49.91%,"1,623",5/10/2026
"3,544",839,Yroole,"'-","'-3",30.00%,10,5/3/2026
"3,545",839,Ben_Arous,"'-","'-1",30.00%,10,5/6/2026
"3,546",838,† Jésus-Christ est Seigneur,"'-","'-2",37.04%,27,5/9/2026
"3,547",838,micha18025486,"'-",1,50.68%,148,5/10/2026
"3,548",838,Ayyıldız,"'-","'-2",48.39%,31,5/7/2026
"3,549",838,"HANIEL2401 ""TUTMOSIS"" [RÆ]","'-","'-1",49.76%,"1,658",5/10/2026
"3,550",838,Jovem Forasteiro,"'-","'-3",48.23%,226,5/10/2026
"3,551",837,Nitric,"'-","'-6",46.57%,204,4/12/2026
"3,552",837,FranSGS,"'-",1,50.49%,305,5/10/2026
"3,553",837,hwanmi,"'-","'-1",49.10%,778,5/9/2026
"3,554",837,duvenhagegertpj,"'-","'-2",49.25%,199,5/9/2026
"3,555",837,daniel0033,"'-","'-2",49.22%,"1,997",5/10/2026
"3,556",836,gregpasotto,"'-",2,47.62%,63,5/2/2026
"3,557",836,Rasnaky,QcPwR,1,44.44%,36,5/3/2026
"3,558",836,Warfarin,MEDIC,"'-1",50.91%,110,4/19/2026
"3,559",835,jaysondc491,"'-","'-3",36.84%,19,5/9/2026
"3,560",835,davidhh,"'-","'-5",48.69%,191,5/10/2026
"3,561",834,gamerpassion0070,"'-",3,37.50%,16,5/6/2026
"3,562",834,Emma95SC,"'-",2,49.32%,219,5/8/2026
"3,563",834,The Lone Gunman,"'-",1,40.91%,22,4/18/2026
"3,564",834,LolaMontero,"'-","'-3",30.00%,10,5/6/2026
"3,565",833,davimcoper,"'-",1,50.66%,456,5/10/2026
"3,566",833,Mexipro,"'-","'-1",46.34%,41,5/1/2026
"3,567",833,alkisneed,"'-",1,48.65%,37,4/19/2026
"3,568",833,telesbernardino,"'-",1,40.00%,15,5/8/2026
"3,569",831,EHOT_B_HOCKAX,"'-",2,45.45%,66,4/19/2026
"3,570",831,1258898611,"'-","'-1",47.06%,85,5/10/2026
"3,571",831,Spring Sword,"'-",4,45.76%,59,4/19/2026
"3,572",831,hansmaulwurf,"'-","'-5",42.86%,77,4/21/2026
"3,573",831,HerbScav,"'-","'-3",27.27%,11,4/24/2026
"3,574",830,Negroprimero,woll,"'-7",28.57%,14,4/15/2026
"3,575",830,123,"'-",1,49.18%,244,5/7/2026
"3,576",830,Straasor,HoA50,"'-5",49.37%,79,4/17/2026
"3,577",829,0nch0s1t0,"'-",2,49.68%,157,5/9/2026
"3,578",828,GmZ,HUNCB,"'-1",51.94%,129,5/6/2026
"3,579",828,sanflow,PIPAZ,1,49.55%,224,5/7/2026
"3,580",828,BossMetal582536,"'-",2,27.27%,11,4/15/2026
"3,581",828,Jsanchez032,"'-","'-4",49.84%,321,4/17/2026
"3,582",828,robdsteamrambelje,"'-","'-1",48.62%,109,5/9/2026
"3,583",827,Player27252350,"'-",3,41.67%,48,5/10/2026
"3,584",827,木叶村2,CUPL,"'-4",27.27%,11,5/8/2026
"3,585",827,guille.abel1986,"'-","'-2",51.78%,815,5/10/2026
"3,586",827,AndyXAngel,"'-","'-3",49.82%,"3,422",5/9/2026
"3,587",827,straky,"'-",4,49.60%,625,4/22/2026
"3,588",826,vneto20,"'-","'-1",51.00%,200,5/9/2026
"3,589",826,hubert de la bath,"'-","'-2",50.09%,545,5/10/2026
"3,590",826,ElPaisa,"'-","'-2",47.37%,380,5/3/2026
"3,591",826,Vlad_Impaler,"'-","'-2",40.00%,30,4/16/2026
"3,592",826,porsu poyo,"'-","'-3",49.46%,465,4/22/2026
"3,593",826,Ti'Rex2x,"'-","'-2",48.95%,143,5/10/2026
"3,594",826,F YOU DONKEY,"'-",1,33.33%,12,5/10/2026
"3,595",825,Bastos,"'-",1,42.86%,42,4/19/2026
"3,596",825,PTN,MOZE,"'-5",39.47%,38,4/30/2026
"3,597",825,BigPoser,"'-",1,47.62%,273,5/7/2026
"3,598",824,www.makaros21,A4G,1,48.62%,109,5/10/2026
"3,599",824,SirRagnar,ENB,"'-2",46.97%,66,5/2/2026
"3,600",824,markhuang0818,"'-","'-3",40.00%,20,4/24/2026
"3,601",824,Andres Gomas,Joan,1,50.03%,"1,517",5/8/2026
"3,602",823,牧野,AoWr,"'-1",46.77%,62,5/10/2026
"3,603",823,davidincio97,"'-",1,50.15%,680,4/29/2026
"3,604",823,Indenominavel,"'-","'-4",40.74%,27,4/25/2026
"3,605",822,gvsergio_,"'-","'-1",48.48%,132,4/19/2026
"3,606",822,P44VLOO,LOMAS,"'-3",31.58%,19,5/2/2026
"3,607",822,KayloLemans,RUSSK,"'-3",47.13%,244,4/16/2026
"3,608",822,hilanjesus123,"'-","'-2",43.86%,57,4/26/2026
"3,609",822,Pat Maverick,"'-",1,48.43%,413,5/8/2026
"3,610",821,klovrekovic1982,"'-",1,49.65%,"1,738",4/19/2026
"3,611",821,TamerTIGER4225,"'-","'-4",45.28%,53,5/3/2026
"3,612",821,davidpereyra3502,kuhak,"'-2",50.22%,225,4/19/2026
"3,613",821,xXWildaskerXx,DEON,"'-1",41.18%,34,4/26/2026
"3,614",820,joao.almeida1997,"'-",2,36.36%,11,5/10/2026
"3,615",820,Fre,"'-",2,42.31%,26,5/8/2026
"3,616",820,jabcustoms,"'-","'-2",47.53%,162,5/3/2026
"3,617",819,carlos.ibiza18,"'-",1,48.19%,193,4/23/2026
"3,618",819,Rgcalla,HUNKS,1,50.12%,405,5/10/2026
"3,619",819,alandresti,"'-",1,48.05%,410,4/26/2026
"3,620",818,pardox,"'-","'-1",52.17%,69,5/9/2026
"3,621",818,Jung Meng,"'-","'-4",47.87%,94,5/9/2026
"3,622",818,243762677,"'-",1,50.77%,130,5/9/2026
"3,623",818,MeRaKi69,R3VOS,"'-1",41.46%,41,4/30/2026
"3,624",818,campo.junior,TmFt,"'-1",49.86%,714,4/24/2026
"3,625",818,Francu u Siddiatu,RMC,"'-4",47.93%,169,4/19/2026
"3,626",818,Icario,"'-","'-1",42.59%,54,4/15/2026
"3,627",818,dranalien,RIOIS,11,48.81%,379,5/10/2026
"3,628",818,LWY,"'-","'-2",49.48%,388,5/3/2026
"3,629",817,ricabakar,"'-",1,48.08%,52,5/10/2026
"3,630",817,ekgnsl23,DOKDO,"'-1",49.83%,"1,146",5/5/2026
"3,631",816,sniper,ÍDOLO,1,50.36%,419,5/9/2026
"3,632",816,Kaptain_Kavrick,"'-",2,49.80%,"1,496",5/1/2026
"3,633",816,艾丽迪卡アリディカ,"'-",1,46.25%,80,4/16/2026
"3,634",816,Rain,"'-",1,50.06%,885,5/9/2026
"3,635",815,Philipp,IMX,"'-2",51.63%,153,4/25/2026
"3,636",815,Gen Rush,"'-",2,48.83%,383,5/9/2026
"3,637",815,DaddyHoov,"'-","'-1",43.06%,72,4/28/2026
"3,638",815,我叫哈比  GiaNt lJ4vzy,COL,"'-3",49.67%,600,5/9/2026
"3,639",814,PeppyChain3114,KHRMN,"'-1",28.57%,14,5/9/2026
"3,640",814,Joe Winter,"'-",1,50.00%,216,5/10/2026
"3,641",814,aslanali4434,"'-",3,49.39%,326,5/4/2026
"3,642",813,shahishishir4,"'-",2,48.10%,79,5/8/2026
"3,643",813,西门黑牛,"'-","'-1",48.29%,234,4/19/2026
"3,644",812,Camaxtlion,UKG,"'-1",50.00%,568,5/7/2026
"3,645",812,hikl1447,"'-","'-1",48.99%,149,5/4/2026
"3,646",811,Daheslion,"'-","'-1",49.08%,599,5/8/2026
"3,647",811,Ar3cHiGamer,"'-","'-1",49.67%,600,5/7/2026
"3,648",811,PARADOX,"'-","'-2",48.55%,241,5/5/2026
"3,649",810,simon,"'-","'-3",46.81%,188,5/4/2026
"3,650",810,SopranoJuli,"'-",2,48.97%,"2,467",5/10/2026
"3,651",810,GL_Juanmi;)_,"'-",1,42.86%,49,5/3/2026
"3,652",810,[EVO]BOOZED,"'-",2,51.30%,384,5/7/2026
"3,653",810,Dbdr,"'-","'-1",46.95%,164,4/27/2026
"3,654",809,Apenda55,"'-","'-4",50.32%,"1,099",5/10/2026
"3,655",809,晚东不见,"'-","'-1",48.72%,390,5/7/2026
"3,656",809,iamthewalrusdude,"'-",2,49.05%,367,5/9/2026
"3,657",808,cintia,TOGH,11,47.62%,105,4/30/2026
"3,658",808,风筝断了线,KOTN,"'-1",40.91%,22,5/10/2026
"3,659",808,ikun,"'-","'-1",41.67%,60,4/14/2026
"3,660",807,william.ira2488,"'-",1,45.83%,48,4/28/2026
"3,661",807,KHATRAA,TOGH,3,47.95%,805,4/19/2026
"3,662",806,lucastadeu50,"'-",5,48.72%,351,5/9/2026
"3,663",806,pannick975,"'-","'-5",38.10%,42,5/4/2026
"3,664",806,masterwills,TIGGR,2,49.48%,679,5/7/2026
"3,665",804,Ecthelion4509,"'-",1,48.54%,787,5/6/2026
"3,666",804,gerald.aquilina11,"'-",7,49.60%,619,5/7/2026
"3,667",804,GMS,"'-","'-2",50.30%,169,5/10/2026
